,message
0,"<s>[INST] The open blue sky provided the people of the Guardian nation with a beautiful day. There wasn't a sign of a cloud in the sky and the signs of demons in the area were decreasing day by day. Since the light showered the ground with its beautiful and elegant radiance that spread throughout the area it blessed with its warmth, no demon has yet since shown its face in the Guardian capital area. Toward one of the garrisons peaking over the city outward, a girl can be seen sightseeing on one of the balconies that peered high up into the sky several stories. The beautiful pink haired girl dressed in mostly red and black leaned on the wooden railing as she looked out at the city below her. Standing beside her was a mysterious woman dressed mostly in black with most of her appearance concealed and toward her left was her bestfriend she knew since the academy. They once were rivals, but ever since they really got to know each other and see eye for eye they've become true friends.
Meira gave off a deep sigh making it known that she looked bored. There wasn't really much to do and all she could do at the moment was sight-see over the magnificent Guardian capital known as Ereis Eisan. The city and the castle of the naton were divided by a Dragonmire Mountain and the only way to reach the castle was either to take the treacherous mountain-path or take one of the trolleys that lifted you skyward over the city toward the top of the mountain then downward toward the recreation area where you would have to register before given admittance to the castle. The woman that continued just to stare at the sky didn't say a word and Ranathia was busy studying one of her tomes she bought from one of the magic shops in the city. Airships continued to soar over the gigantic Guardian capital as Meira continued to peer over the city watching the man sights she could perceive.
When she was about to enter the garrison, a soldier approached her with a request that the king asked her to the castle. Meira looked at Ranathia who just asked her right after the soldier talked to her what he wanted where she said toward her in a plain voice, ""Oh, it's just that King Razhard wants to see me."" Meira said with a deep sight not understanding why the king wouldn't get it through his head that she just didn't particular find him a person that she was interested in. At best, [/INST] he was a great friend to her, but she couldn't ever love someone that she just couldn't get herself to like in the way he wanted. That's what she thought anyway as she left the balcony then took the stairs down toward the bottom of the city where a royal airship awaited her to board it.
Like usual, the mysterious woman followed the two. Meira wanted to know why this person was stalking them and who she was, but she knew she'd just start talking nonsense and that it would be just a waste of time. She took her seat toward the front of the airship and then peaked out the window as the attendant closed the door and announced that it was leaving toward the castle. ""I wonder what he wants now?"" Meira said as she watched the airship pass over the city while she could enjoy the views from above. It has been awhile since she had taken a ride on an airship. Ever since Windgrace when she first graduated anyway. She would have used her mount to reach the castle, but the king was gracious enough to provide them with transport. One of the soldiers approached the mysterious woman and asked demanding an answer, ""Hey, what do you think you're doing?""
""What's it look like I'm doing? I'm going to accompany these two birds. Now go away."" She said irritated as she turned her face away and again put it back into the mysterious tome she was reading from. The woman didn't show any signs of responding where the soldier reached out to grab her hand causing the woman placed her hand on her blade. Meira immediately interrupted and told him that she was a guest and was a part of their unit. The soldier nodded and let them carry on with what they were doing.
It wasn't long before the ship reached its destination where it touched down and Meira and the others departed for the ship and looked at the scenic view the castle had to offer. It was a view that astounded the mysterious woman who just closely examined the area before she saw the two walking down the white stone walkway toward the castle that stretched into the sky. When they started to approach the entrance they heard someone causing a ruckus and looked like there was a problem. Meira approached the situation to see what was going on at the entrance and she was very surprised by her view. It looked like two individuals were having a disagreement, but she wasn't close enough to hear what it was about. </s>"
1,"<s>[INST] Meira overheard some of the words in the argument where her mood finally changed. She didn't look to pleased when she approached the scene along with the two other people that were accompanying her. Ranathia also had a frown on her face, but the other mysterious woman didn't look like she cared at all. The words she heard when she approached the soldier that was arguing with Nathan were ""whore"" and the second was ""virgin"". Both words annoyed her when she thought about them thoroughly. She stopped a few feet away from the two where she went, ""Ahem..."" Tapping her foot down on the ground in disgust and then crossing her arms with a cold stare in her eyes letting everyone around know that she was upset.
Instead of approaching the soldier first, she turned her attention directly toward Nathan where she responded as the soldier took a bow then apologized to her for what he had said when he realized who her commanding officer was, ""As much as I appreciate you standing up for my honor, Nathan. I'm pretty sure you could have just stayed quiet and found me instead of instigate a confrontation over here."" She bent down with her hands on her hips with the same cold stare in her eyes where she then continued once again, ""How do you know I'm a virgin? I'm certainly not a whore, but what gives you the right to speak for my modesty? You not only misrepresented Windgrace when doing that, but you also are guilty of insubordination."" She paused for a moment as she pulled herself away from Nathan again returning to her normal stance as she paced about him where she continued on, ""I'm not saying I don't appreciate what you did; moreover, the fact you need to know when to just let things go and bury the hatchet sometimes too.""
""Forgive me, Lady Meira. I had no idea you were his commanding officer. I sincerely apologize for my insults [/INST] and I will accept any punishment you deem fit for someone like me."" The first soldier said scared as the second one was so frightened that he couldn't even open his mouth.
""That will be unnecessary. You are not one of my soldiers so I cannot punish you though I will speak about your behavior toward the King himself."" She boldly stated as the soldier gave off an oh man kind of gesture keeping his mouth shut while Meira turned her attention toward Nathan. ""With that all aside, we'll go ahead and pass."" Meira explained toward the guards as they stepped aside and allowed the people to enter. The woman who followed Meira took a brief glance at Nathan then looked away quickly with a silent sigh saying quietly, ""Why would a divine race want to impersonate... No... nevermind..."" She shook her head softly becoming silent once again.
Ranathia turned her eyes toward Meira as she saw the woman that followed them look toward Nathan asking her as they passed through the archway large downs that opened for them as they step inside the large structure. ""Has she been always following us?""
""Yeah, but anyway..."" Meira answered as she turned her attention toward Nathan. She looked at him then winked toward him, ""Been awhile hasn't it? Already made it up to second in command of my unit, huh?"" She praised him before she continued with what she said, ""I'm surprised to find another person from the Windgracian Academy here like myself. You should remember me since I am of the Rystaliuskal family line and was one of the nobles attending the academy. The status was rather irritating though. Must have sucked for you how they treated you in the academy giving you a room separate from my own. I sometimes think the nobles here are complete idiots."" Meira said as Ranathia and the woman said nothing as they walked down the hallway in the castle. </s>"
2,"<s>[INST] A lady in a red robe walked behind Meria and Nathan, and interrupted, ""I would believe it is Rystaliuskal, would that be correct Meria. Sorry for interrupting but I would just like to introduce myself. I am Aira Evene of Xi. You probably haven't heard of Xi, it is a small island of nothing but trade and herbs."" Aira gave Nathan a strange look, and then quickly looked away. ""I am acting as a medical a [/INST] dviser to the king and his army. I don't know much about swords and shields, but I am fine alchemist and doctor. The herbs of Xi have served me well, and I plan to use them to give Guardia exactly what it deserves. ""she paused and continued, ""Victory over their enemies."" she said, a bit boastfully. Aira shifted her eyes from person to person, and then quickly left each one in turn moving to the next. </s>"
3,"<s>[INST] Aira felt her skin crawl every time the word ""holy"" was used, but she tried to hide it the best she could, which was really good. ""What a lovely story Meira, and I am sorry for mispronouncing your name. It is probably my islander accent."" she said smiling warmly. ""And nice to meet you too Rana. I am sorry for not noticing you. Work has been busy, I been having to keep on my alchemy lab, and try to find ways to improve the efficiency of the Guardian's medicine and i [/INST] t has been a challenge. My I be bold enough to ask what brings you here?"" she asked.
Aira noticed how Nathan was starting to feel uncomfortable, ""Nathan, is it, if you need to take your mind off things, I could show you around my basic alchemy lab, presuming you would like and your commanding officers don't mind. It can be quite a sight for people who haven't seen one before. I need to poke my head in there anyways pretty soon, and I can always enjoy some company."" </s>"
4,"<s>[INST] Wonderful' Aira replied, as she walked towards her alchemy lab. She reached into her robes and grabbed a key and unlocked her lab and relocked it from the inside behind them. Sorry for having to lock the door, I just can't have people stumbling in and knocking something over or something. It is quite easy to mistake one room for another in a castle this big."" she said.
The room was covered in shelves and shelves of diff [/INST] erent veils which held many different multicolored liquids. Each one having a small label saying something to the like of ""Pt56, or Ps103."" and many different things. In the center of a room, there was a large cauldron with a small metallic box with fire wood in it.
Aira shuffled over to a desk and started to sort some of the papers that were thrown about it. ""So, how do you feel about the nobles of Guardia's mainlands."" </s>"
5,"<s>[INST] Oh, and where are my manners. Would you like something to drink? Aira asked, as she poured him a cup of tea and offered it to him. ""My I just warn you, corrupt runs deep in Guardia, but lucky, King Razhard is working on it."" she said, smiling. ""Though, may I ask, how much do you know a [/INST] bout mana and Xi? And do you mind if I waste a bit more of your time with a little story. Xi isn't in the best of shapes right now, and Guardia's hands are full with other conflicts, which is way I am here to help end those conflicts so Xi can be restored to its former glory."" she said. </s>"
6,"<s>[INST] I think you may be mistaking ellan for pure mana. It is a common mistake, there is really one difference and that is pure mana doesn't use esir or ragna like other magics. Many people are either indifferent or even hateful towards it. I think you might recognize more it as archant, which is magic using mana. However, to Xi, mana is much more important. XI grows lots of manawyn which is a common ingredient used to create pure mana.. Manawyn was once a very important export of Xi and mana has been long apart of our tradition.
""However, recently Archant has been banned in Xi. It has become illegal to grow or sell manawyn hurting our economy and putting many of the lowe [/INST] r class Xians out of work. Many of the noble families brushed this off so the revolts are being put down, mostly because the nobles get all of their money from trade. It is because of the greedy Guardia nobles. You see, Xi is controlled by the Guardia King and the greedy nobles of Guardia used this to push for an Archant ban. Guarida didn't buy any manawyn, so by banning it, they both hurt are pride and our economy without even affecting Guardia."" she paused, and continued, "" I am sorry for the rant, but I just needed to let someone know how I been feeling.""
""And you haven't drank any of your tea yet. Please, drink up. I might get offend if you don't."" she continued. </s>"
7,"<s>[INST] A wave of enchantment immediately flowed though Nathan as he drunk the tea. ""Now, don't worry."" Aira said, knowing that he would feel it. ""You see, there is a possible traitor running around this class, and I simply slipped you a truth potion. I just need to know if your a hiding a [/INST] nything from me. You can say quite, but your silence might just prove your guiltiness, so I repeat, are you trying to hide anything."" she said, with a sly smile. She knew that he probably wasn't a traitor, but knew that everyone was hiding something and the more she knew the better. </s>"
8,"<s>[INST] Aira laughed in her head, thinking ""I have never heard of someone who was ""pretty sure"" they wasn't a traitor, but I should keep a straight face, I shouldn't reveal my own intentions yet."" Aira straighten up, ""So, Nathan, you are probably not the ""traitor"", then tell me, who exactly are you."" she said out loud and then went back to her thoughts, ""S [/INST] o this boy does hold some secrets, I should use the guise of protecting the throne to dig up some more dirt on him. He was with Meira, so he must be someone of importance, having something on the ""holy knights"" blood could serve the cult well, and Nathan was the weakest link. I also did hear something about Nathan muttered from one of those girls."" </s>"
9,"<s>[INST] By the sounds of it, you are dragonite, I am only guessing but your word choice is quite clear. But in Xi you should know that dragonites are respected. It is said that dragonites gained there incredible power though the use of mana, which my people holds dear. Persecution of dragons is sill [/INST] y, people simply fear what is beyond them. If you seek to run from the truth, I may give the antidote and we may go separate ways, but otherwise, you do keep good company. And there is a legend on the island that dragonites can be good luck. he said, smiling, and pulling out a veil of liquid. </s>"
10,"<s>[INST] Now that those two are gone, why do we go someplace we can talk? The woman said when she saw both Aira and Nathan were out of sight. What she was about to talk about had nothing to do with those two. Well, the most important segments didn't anyway. Meira and Ranathia both were hesitant about following the woman where Meira asked her once again the same question Ranathia did, but this time only inquired for her name, ""I feel strange not knowing a person by their name. At least allow us both the liberty of knowing your name. I know it's a lot to ask for, but I'm sure it's something little compared what so much you have to acknowledge.""
""Siia."" The woman paused for a moment as she pulled down her hood to reveal her face toward the two girls. She then started to walk in the direction of a room which she looked like she wanted to visit. The two followed her without question where she added to what she said, ""My name is Siianthaliae Vanb'Rianthei. Back in elder times I went by various nicknames though the one mortals know me by the most is Thali Aventhosai."" She paused for a moment as Meira and Ranathia were both surprised to see what this woman actually looked like. Neither of them imagined such a cold approaching beautiful raven haired woman underneath that cl [/INST] oak. Though near some of the ends of hair were shards of a silvery glistening shine on her hair which was awkward. Neither have met anyone who had two different hair colorings even if it was hard to visualize.
She lead the two into a room asking the guard to make sure no one interrupted their conversation where he just nodded at the two and allowed them to enter. The room had an array of chairs where Siia walked over and took a seat in one of them. She pulled her hood back over head when she took a seat then asked the other two to take a seat as well. Ranathia and Meira both took a seat in the two chairs that were arrayed across from the one that Siia was sitting in.She then looked at the two having a few questions to ask before she was going to begin what she was about to say, ""Now that it is just the three of us, I have a few questions to ask upon you two Elian descendant youths before I begin with what I have to tell you.""
Both girls answered with, ""Okay."" They weren't sure what Siia had to say, but if she just started talking then it was always something very important. They noticed that she always talked with it was completely relevant. They both were going to listen to everything she had to say and answer the questions she had for them if they could. </s>"
11,"<s>[INST] One of the soldiers saw Nathan wandering the castle where he approached and informed that Meira and Ranathia accompanied a mysterious woman toward one of the guest rooms. He told him to follow him and he'd regroup him with the girls.
""You probably know by now that six continents make up the world of Gaea, but you don't know is all those continents at time were part of an enormous landmass called Elia. Elia was the large continent that the Avernia Empire used to rule over where Xhosa was at the helm of it all. He ruled almost the entire Elian continent meaning the entire world except a strip of land known as Ehtolia. Ehtolia is located on the southern tip of the Holyoke continent. Ehtolia is still owned by no nation. The land is protected by a sandstorm that prevents outsiders from entering it. Anyway, Ehtolia is where the deities decided to descend upon man and aid them in the fight against the tyranny of the Harken and its ruler Xhosa. The deities temporarily took refuge in the land of Ehtolia known to many as the Blessed Promised Land. These deities gave birth to children who would later become Elian Crusaders. When it looked like the Avernian Army had defeated all of its adversaries and only the Phaedrians were the ones still with the power to put up a fight, that is when several men and women rose up and brandished ancient weapons that were crafted by the deities and give to their holy blood or children to use. There was Saint Idris Guardia who is the son of Emerlink. He wielded the Spear of Salvation known as Daesleurph. The next was Angelian Elyria Eden who founded the Kingdom of Eden. She wielded the powerful Tome of Apostles known as the Ephemeris Luminaire. She bared the holy blood of Eternia Goddess of Miracle.
Then there was the Hero of Chaos Flambard Cimmeria who brandished the Shattering Horizon Halberd Catastrophia blessed by the God of Power Arcturus. He was an Arkadian who migrated from another world to Gaea like quite a few of the other Elian Crusaders. The Holy Knight of Elia known as Aurelian Zeustzius who brandished the Blade of Light otherwise known as the famous Holy Sword Meleitling. Aurelian's holy blood was that of the Goddess of Mortal Universe Destruction Euphoria. The sword had another form which you will learn about in time. A Dragonite Elian by the name of Mehetabel Ereseal brandished the Magic Destroying Wing Blade known as Ragnadaim. It is sometimes nicknamed the Gemini Blade. He bared the holy blood of Agnevastra Goddess of Alteration. Loshan Lumina was an Angelian who formed the Kingdom of Lumina. He wielded another powerful magic tome called Rias Provaine or the Tome of the Divine Flame. Sometimes known as the Book of the Sacred Flame. He bared the holy blood of Xaliana Goddess of Connection.
Azrael of the Four Winds formed the Sacred Dragonia Dynasty who was also a Dragonite like his brother Flambard. Azrael Dragonia wielded the El Gladius Kaze or the Sword of Wind. He was the holy blood of Fujin who is the Goddess of the Wind. The next two Elian Crusaders were a pair of sisters by the name of Thali and Myra Aventhosai. Thali was the holy blood of Stellvia the Goddess of Space-Time and Myra was the holy blood of Xiashakue the Goddess of Truth. Thali brandished the Sword of the Seventh Seal Broniac also known as the Emblem of Apocalypse and her sister used the Orbs of Elan Gossamer Facula which means The Eternal Truth. Another of the ancient weapons created was the one Stralia blessed known as the Berserker Band or now known as Mistaleyn. Stralia is the Goddess of Adversity and the person who wielded that weapon was Abimelech Levantaike who later formed the United Emirates of Avarona. He was a famous Nekrian who looked a lot like a wolverine. The one who wielded the Scepter of Elysia Elaire Vastral was a man by the name of Galdaris Danasta. His holy blood was Evangelina the Goddess of Mortal Universe Creation. He was the opposite of Aurelian. The two holy weapons Meleitling and Elaire Vastral were considered to be two of the most powerful only second to the almighty Broniac. The holy blood of the God of Destiny Altair was an Arkadian man by the name of Reishin Primavalthera. He wielded the holy weapon known as Ewigeskyn otherwise known as the Spear of the Blessed Eternals.
The next weapon was a rune which was extremely dangerous and only those with enough wisdom could ever control it. It was known [/INST] as the Sacria Versya Tristania Vashuna wielded that chaotic weapon of destruction which was the holy blood of the God of Eternal Decay Kreosus. It is said that only Rudorians could wield the Sacria Versya and the Vashuna family were a group of Rudorians who lived in Xiria. The next of the holy blood was a man named Lucent'phelias Xanathare who wielded the Sword of Elan the famous Vale Loess who was the holy blood of Elan Goddess of Magic. Another that bared holy blood which was a famous alchemist by the name of Luciferias Atharva. He was a Mahzok and the original founder of the magic known as Atharva. He was the holy blood of the God of Wisdom Thraanphal and wielded the Scythe of Nightmares Ebona Orifice. Another famous alchemist from the Nedre race known as Erasmus Vanslandaiya was the holy blood of the God of Judgment Pleiadeis who wielded the Tome of Mystics Phantasa Magorias who eventually formed the Kingdom of Larciena. Vermilia Axthrusia also known as the Saint's Sword of Virtue is the holy blood of Virtue with her sword Chrysoareis. Avantasia Rosenau was the holy blood of Lumina the Goddess of Commandment who wielded the Spear of Suzerain Fafnir. Ambrose Xandria who was the holy blood of Sateria the God of War wielded the Hammer of War Thoralis. Halfenaijuen Xeivanthestra bared the holy blood of Illusia Goddess of Enchantment and wielded the Sword of Illusions Nyghtmaer.
The two Phaedrians Magdalene Zorathan and Atroshaniu Rev'athalena famous in human religions also bared two holy weapons. Atroshaniu bared the Sword of Light Langrisser while Magdalene bared the Sword of Darkness Alhazard. Atroshaniu's holy blood was Hemera whereas Magdalene's was Nyx. Dimensia the Eternal Spear of Chaos was wielded by the holy blood of the Goddess of Chaos Millicent Alutemu Siebenthal. The Primordial Sword of Avalon known as the Sword of Absolute Power Asture Promusa was wielded by Savraj Zamora. He was the holy blood of the almighty Goddess of All-Creation Sigma. It is often that sword is called the Sword of Sigma or The All Destroyer Sword. The last time the Elian Crusaders appeared was the last time that sword has ever been seen. It has other nicknames such as The All Gathering Sword of Eternal Power. Reynburne Leibrandt wielded the Sky Sword Arcadia. He was the Elian Crusader of the Goddess of the Sky Andromeda. The Sword of Quintessence Celesna was wielded by Desiserius Zarcarias who was the holy blood of the mysterious goddess Aira known as the Goddess of the Reverse World. The next was the Windwaker Bow Ichivail blessed by the Goddess of Vision Lacyndora. It was wielded by a famous elf by the name of Deusdedit Etroshalt who bared Lacyndora's holy blood. The next Elian Crusader wielded the Staff of Revelation Caledonia his name was Dhihlat Lavarose who was the holy blood of the God of Revelation. The Scepter of Death Dethmaire was wielded by the Elian Crusader Xanthus Auslander.
The Sword of Inferos Einsatz was wielded the Elian Crusader Einlanzer Fallsmyeriche who was the holy blood of the God of the Infernos Agni. The Elian Crusader that wields the famous Serpentine Thunder Blade Levatein was Sergius Glasford the holy blood of Indra the Goddess of Electricity. The Elian Crusader who wielded the Aquamarine Rod of Water was a priestess girl by the name of Fiona Ingrassia. She was the holy blood of the Goddess of Aqua and surprisingly she was a Mathua. These thirty Elian Crusaders blessed with holy weapons rose up against Xhosa and used their powers granted to them to destroy Xhosa. After Xhosa's defeat, six of them formed the six most powerful nations at that time. The others formed smaller nations, become wanders or drifters or served the other rulers."" Was the last of Siia's words as she took a while to pause from a long winded explanation. She didn't expect it to take her that long to explain how many Elian Crusaders existed, but they probably didn't know there were thirty of them. Not all the gods and goddesses were accounted for. Just the ones that took part in the Ehtolian Miracle.
""WOW!"" Meira exclaimed when she heard about how many Elian Crusaders there were. She was surprised that there was so many. If that many holy weapons existed then that means there were a lot of weapons out there unaccounted for. Meira had no idea that so many holy weapons existed on Gaea. It was absolutely amazing to think that many actually were created. </s>"
12,"<s>[INST] Both sides of your parents were affiliated with holy blood. It just really depends on which divine blood is stronger in your body which is what decides if you have major holy blood or not. If there is the precedence of more than 50% of one blood type of holy blood in your body then you major in that holy blood and may brandish your progenitor's holy weapon. Siia added knowing the girls would want to know how you could tell if they holy blood or not. While she gave them that explanation she shifted in her chair the position her body was sitting then peered over by large white door colored mostly in white. A large red and golden embroidery carpet lead straight for the door and the chairs were craftsmanship work as you could see all the beautiful designs on the would that was well carved. She knew someone was at the door so that is when she started to go quiet.
Meira and Ranathia both asked why she had just stopped talking. She hadn't really told them everything to make it more clear of what they heard from her. All they knew about were there were thirty Elian Crusaders which carried holy weapons. Other than that aside from the ones that represented nations later in their lives, they knew little about these people. There were familiar names they heard from the woman such as Aurelian, Lucent, Reishin, Magdalene, and lasty Atroshaniu. They remember Erialyss telling them about the Phaedrian Elians Magdalene and Atroshaniu, but Erialyss didn't know exactly how they were born. She suggests a logical reason that they were born after the Phaedrians used their knowledge of Holy Magic while maintaining a heavy defense at Ehtolia which eventually they heard their calls and started to descend onto the planet known as Gaea. She says that she was told that her parents were born from two divine entities.She believes the dishonorable entity known as Nyx mated with Hemera at Hemera's suggestion which gave birth to her mother and father. Her mother was mainly Nyx holy blood whereas her father was blessed by Hemera. Even though they believed what Erialyss said, everything she has said about her parents is completely unsupported, but it provides for a truth to their birth which is a distinct possibility.
Both girls were still heavily wrapped in thoughts about what they heard from Lady Siia. They were even more curious how she knew all this about the Elian Crusaders moreover how she knew about what looked like every holy weapon in existence. The woman was very mysterious where she covered most of her entire appearance with the black cloak she wore over her entire body. The clothes underneath her body they saw faintly didn't look like clothes of any civilization so far that had established itself on Gaea. They were shiny and made from an usual fabric. This just made the two more curious about who Siia really was. They didn't know her age, origin and in fact they knew hardly anything about this woman.
One thing that really bothered Ranathia which she tried to hide was the fact when she saw what that woman looked like. She resembled her so closely and she wanted to know why that was? Thoughts revolved around in her mind as she closely examined the woman who still was at silence not talking at all again. Why does this woman look like me? Other than an age difference, she looks really no different than me. That hair tone looks exactly like mine and those light blue eyes she has... This just feels so strange and makes me wonder if I have any relation at all to this woman. I mean, unlike most people I never knew anything about my parents. I know I had two brothers and a sister who was murdered, but even if they weren't brothers or sister by blood I still considered them my brothers and sister. I also know that Ranathia isn't my actual name. My mother and father gave me a name, but I don't remember what it was. In fact, I don' [/INST] t remember either of them or their faces. This just doesn't make any sense at all... Ranathia thought as a frustrated look overtook her face where Meira asked if she was okay. She just nodded at Meira trying to retain her composure.
""Ma'am?"" A voice called out as the white door off to the side of the girl's opened where a guard cladded in black and white armored waltz in. He looked over Siia's direction and apologized for his interruption. She shook her head then just asked him, ""What is it? There is no reason to feel uneasy around me. Just tell me what is on your mind."" Siia said as she turned her attention toward the guard. She was upset at all by the guard's sudden interruption. No one was talking anyway and she didn't want to tell these girls more with people in the area which she didn't hardly know about. She closed her eyes for a moment and sensed the aura in the region and noticed the Dragonite child had come back. ""So the hopeless one is back?"" Pausing temporarily she lowered her voice a bit, ""That Dragonite is sometimes an eyesore."" She questioned as she had just sensed Nathan's aura in the air. The guard didn't understand what she meant by hopeless one or Dragonite thinking that it was just a joke, but the young boy that was with them earlier was back if that's what she meant.
""Also the King is ready for his audience with you."" The soldier added as he kept the door cracked. He didn't want to impose on the woman who he thought looked very scary. Just her aura sent chills down his spine. He didn't think something so vicious looking would be completely harmless, but that didn't stop him from keeping his awareness up just in case it was a trick. ""I suppose we shall get going then."" Siia announced as she stood up from her chair and made her way toward the door. She stopped for a moment in place as Meira and Ranathia talked to each other collecting her thoughts from before the time she came into the room. Cautiously thinking toward herself, that woman we met earlier cannot be trusted. I'll remain a sentinel toward these girls and as long as I wield Broniac I'll always be able to protect them. Those two girls have the potential to destroy Avernus once and for all. Both are opposites that have become friends which in turn has strengthen their bonds and the holy blood that flows through their veins. I guess the New Children as the revelation revealed will lead the new era. I do know that this will be the final time my brother interferes with the course this world is going down. His influence over the world has been contagious and its his fault that Avernus is here in the first place. I have to remember to keep my guard up. He could be anywhere posing as anyone in this world. Even a mere peon could be my brother.
""Lady Siia, are you all right?"" Meira and Ranathia asked as they saw the woman looked ill a moment ago, but she nodded explaining that she was fine and she was just deep in thought. She appreciated the two girls concern where she ordered the guard to open the door so they could step back into the hallway. When they reentered the hallway, various picture frames and ornaments adorned the hallway in elegant beauty. The roses that hanged toward the part of the wall the torches came out of kissed the wall caressing the side of the wall laying in silence unwavering. The pictures that hung on the wall told a lot about the history of the Guardia nation. Some were pictures of the inside of the castle, some were of a another castle, others were of the town or the royal family that was part of the Guardia lineage. When the three were back in he hallway they noticed a brunette haired boy approaching their direction who was dressed in armor. They knew it was Nathan where Meira and Ranathia questioned toward him, ""What's wrong, Nathan? What is the rush in finding us? Didn't you enjoy your little tour?"" </s>"
13,"<s>[INST] Nathan breathed a sigh of relief when he saw Meira and Ranathia unharmed ""oh thank god you two are okay. Listen, I know this might sound odd, but did that strange women do anything to you? Like maybe drug you?""
Meira was confused by the question Nathan just asked her and Ranathia didn't know what to think about it other than perhaps Nathan had been overwhelmed by taking a look at her lab and it was going to his head. Meira began by asking Nathan when she was completely confused, ""Nathan, what do you mean by that?"" She paused for a moment thinking about the drugging part which was even harder to understand why he would ask such a question where Ranathia answered for her, ""No, that woman we just met didn't do anything to us. If she did, the grumpy woman over there."" She paused temporarily taking her finger and pointing in briefly at Siia, ""Would have known by now. I don't know what has gotten into you, but it looks like you've been under quite a spell of things.""
""We're fine, Nathan."" Meira added when Ranathia went silent. She looked over toward Siia, but she didn't say anything. Though her finger was underneath her chin which [/INST] gave the impression she was thinking about something.
Nathan continued, ""I only ask because that women who showed me her lab did that to me and I wasn't sure if there was some sort of plot to split us up before attacking. She claims she's here to find some kind of traitor, but I don't buy that. She made it quite clear that she has no love for Guardia, and in fact might even benefit from it's fall. So it wouldn't surprise me if she was really here with far more sinister goals in mind.""
""Take this."" The woman said toward Nathan as she threw him something she pulled out of her cloak. ""It's a Neutralizer I made with my divine energy. Since it's pure holy power you may want to soak yourself with this."" She added as she threw him another bottle which contained some holy water in it. ""That's high grade Erufin Holy Water so do not waste it. It's hard to come-by and is very rare Just sprinkle your body with it then take that Neutralizer which will purify your body of any unwanted contagions that entered your body unexpectedly. Then come find me later and tell me exactly what that woman told you. I'll let you know after the summoning."" </s>"
